epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,148.557,1.62913,1.78848,1.84064,0.42538,0.40288,0.29704,0.13909,1.97738,2.58833,2.37042,0.000990365,0.000990365,0.000990365
43,151.849,1.63527,1.81648,1.81733,0.46356,0.28913,0.32915,0.1478,2.1028,2.48814,2.3789,0.000973861,0.000973861,0.000973861
44,155.257,1.55222,1.70501,1.75598,0.48402,0.33913,0.36985,0.18231,2.00223,2.07125,2.29733,0.000957358,0.000957358,0.000957358
45,158.592,1.49874,1.89883,1.69662,0.64168,0.36087,0.43277,0.20717,2.00431,2.08496,2.31752,0.000940855,0.000940855,0.000940855
46,161.883,1.64046,1.76803,1.8532,0.69183,0.41087,0.45842,0.23153,2.11879,2.19347,2.45425,0.000924352,0.000924352,0.000924352
47,165.192,1.55049,1.69299,1.77413,0.99499,0.30333,0.48016,0.24371,2.21757,2.07885,2.54521,0.000907848,0.000907848,0.000907848
48,168.695,1.56396,1.67825,1.77542,0.47843,0.33913,0.3711,0.18923,1.96455,2.04058,2.24096,0.000891345,0.000891345,0.000891345
49,171.948,1.57242,1.67565,1.76355,0.61156,0.35816,0.38513,0.17591,1.9901,2.08237,2.28871,0.000874842,0.000874842,0.000874842
50,175.202,1.57138,1.60501,1.79552,0.45419,0.41087,0.40681,0.18524,2.15899,2.02167,2.44985,0.000858338,0.000858338,0.000858338
51,178.537,1.58741,1.6664,1.82975,0.72844,0.34565,0.39577,0.1735,2.14054,2.19794,2.52111,0.000841835,0.000841835,0.000841835
52,181.996,1.50423,1.58718,1.72078,0.37613,0.46087,0.37183,0.1984,2.09091,2.25218,2.42666,0.000825332,0.000825332,0.000825332
53,185.359,1.43456,1.55067,1.68979,0.56871,0.26739,0.3652,0.17656,2.18232,2.05021,2.52402,0.000808828,0.000808828,0.000808828
54,188.915,1.55855,1.63167,1.76547,0.47172,0.50435,0.45218,0.21036,2.12713,1.94467,2.36781,0.000792325,0.000792325,0.000792325
55,192.329,1.47706,1.51716,1.6958,0.52628,0.48527,0.47419,0.23322,1.99319,1.92679,2.2914,0.000775822,0.000775822,0.000775822
56,195.717,1.46495,1.48655,1.68645,0.49139,0.43261,0.43294,0.21864,2.02394,1.89977,2.37397,0.000759318,0.000759318,0.000759318
57,199.04,1.47046,1.49427,1.71512,0.40704,0.50435,0.48187,0.23509,2.01261,2.08894,2.32672,0.000742815,0.000742815,0.000742815
58,202.407,1.45394,1.4521,1.65967,0.52245,0.52609,0.44595,0.21946,1.99373,2.15926,2.311,0.000726312,0.000726312,0.000726312
59,205.711,1.45621,1.48637,1.67333,0.34064,0.5041,0.45312,0.24247,1.97793,1.96067,2.23444,0.000709809,0.000709809,0.000709809
60,209.152,1.46174,1.46293,1.67537,0.30086,0.45435,0.40764,0.21847,1.92635,1.96157,2.26542,0.000693305,0.000693305,0.000693305
61,212.605,1.40638,1.41237,1.6247,0.4849,0.43261,0.41238,0.17453,1.99784,1.90347,2.32587,0.000676802,0.000676802,0.000676802
62,215.906,1.38148,1.37555,1.60336,0.34258,0.48261,0.39448,0.18339,2.08516,2.08358,2.39787,0.000660299,0.000660299,0.000660299
63,219.343,1.35618,1.32964,1.58985,0.6322,0.37611,0.43386,0.19462,2.21469,2.09477,2.57984,0.000643795,0.000643795,0.000643795
64,222.729,1.35581,1.38352,1.59487,0.41153,0.46087,0.42871,0.19154,2.13577,1.98847,2.46085,0.000627292,0.000627292,0.000627292
65,226.084,1.38677,1.32417,1.63708,0.59773,0.43261,0.507,0.23579,2.04591,1.75667,2.37529,0.000610789,0.000610789,0.000610789
66,229.39,1.4318,1.36959,1.63693,0.3443,0.49783,0.39622,0.18937,2.03168,1.84971,2.37848,0.000594286,0.000594286,0.000594286
67,232.854,1.40146,1.36964,1.59602,0.59189,0.36087,0.43958,0.20021,1.96447,1.95277,2.29143,0.000577782,0.000577782,0.000577782
68,236.228,1.35674,1.32001,1.58835,0.57231,0.46087,0.51667,0.24568,2.00247,1.65497,2.32328,0.000561279,0.000561279,0.000561279
69,239.654,1.35381,1.41537,1.57259,0.46759,0.52899,0.45197,0.20013,2.11545,1.82061,2.422,0.000544776,0.000544776,0.000544776
70,242.993,1.33885,1.30035,1.57374,0.73604,0.40435,0.4545,0.20877,2.03175,1.8063,2.33176,0.000528272,0.000528272,0.000528272
71,246.332,1.33151,1.27618,1.57018,0.81314,0.33913,0.4494,0.21414,1.98558,1.80238,2.3121,0.000511769,0.000511769,0.000511769
72,249.689,1.3339,1.25288,1.59476,0.65408,0.27434,0.40363,0.18911,2.24836,1.95746,2.63933,0.000495266,0.000495266,0.000495266
73,253.192,1.27255,1.18211,1.50457,0.4092,0.48261,0.40897,0.19174,2.13446,1.90711,2.47182,0.000478762,0.000478762,0.000478762
74,256.571,1.25761,1.1577,1.50018,0.47037,0.48633,0.46177,0.20788,2.01167,1.83381,2.36843,0.000462259,0.000462259,0.000462259
75,259.905,1.23281,1.17299,1.50154,0.5198,0.57609,0.52456,0.24315,2.03833,1.6739,2.37543,0.000445756,0.000445756,0.000445756
76,263.22,1.24671,1.11643,1.51557,0.58187,0.53261,0.46158,0.21818,2.09503,2.03354,2.46873,0.000429253,0.000429253,0.000429253
77,266.563,1.2804,1.17772,1.52262,0.74427,0.43913,0.47156,0.19655,2.15599,1.97408,2.55219,0.000412749,0.000412749,0.000412749
78,269.926,1.21498,1.14635,1.49793,0.66454,0.42203,0.4822,0.22674,1.91987,1.83742,2.33021,0.000396246,0.000396246,0.000396246
79,273.406,1.23244,1.12635,1.47425,0.70216,0.46087,0.52664,0.26294,1.97723,1.78343,2.30667,0.000379743,0.000379743,0.000379743
80,276.918,1.24943,1.12646,1.5039,0.45944,0.55978,0.51022,0.22108,2.1217,1.76167,2.45872,0.000363239,0.000363239,0.000363239
81,280.276,1.2159,1.11684,1.50354,0.53625,0.57609,0.54747,0.2482,2.00269,1.78777,2.29248,0.000346736,0.000346736,0.000346736
82,283.582,1.19569,1.13337,1.47487,0.73473,0.48261,0.5995,0.28221,2.01973,1.72455,2.34363,0.000330233,0.000330233,0.000330233
83,286.995,1.15557,1.06198,1.44603,0.35386,0.45435,0.38298,0.18387,2.10608,2.02787,2.45677,0.000313729,0.000313729,0.000313729
84,290.356,1.16069,1.05097,1.43561,0.29535,0.55435,0.35478,0.1715,2.11832,1.99556,2.50434,0.000297226,0.000297226,0.000297226
85,293.729,1.13528,1.00048,1.40251,0.68485,0.40785,0.43197,0.2114,2.16087,1.89777,2.53909,0.000280723,0.000280723,0.000280723
86,297.134,1.14914,1.01826,1.43391,0.52325,0.37791,0.37056,0.20582,2.13539,1.88507,2.48497,0.00026422,0.00026422,0.00026422
87,300.628,1.1277,1.00173,1.42066,0.49094,0.50435,0.4063,0.19788,2.10863,1.96295,2.42404,0.000247716,0.000247716,0.000247716
88,304.001,1.05833,0.91953,1.36146,0.38839,0.43261,0.36871,0.18794,2.1582,2.04567,2.47892,0.000231213,0.000231213,0.000231213
89,307.386,1.11268,1.00357,1.40119,0.4054,0.45435,0.38857,0.19963,2.13362,1.99919,2.46402,0.00021471,0.00021471,0.00021471
90,310.705,1.06145,0.99666,1.367,0.57037,0.46771,0.471,0.23089,2.0957,1.86854,2.35693,0.000198206,0.000198206,0.000198206
91,315.111,1.07342,1.02551,1.36921,0.54484,0.45435,0.43812,0.20929,2.26414,1.91388,2.63759,0.000181703,0.000181703,0.000181703
92,318.443,1.08399,0.746,1.37911,0.46382,0.38321,0.37116,0.15987,2.43066,1.98188,2.93684,0.0001652,0.0001652,0.0001652
93,321.874,0.97015,0.79584,1.33381,0.5098,0.29565,0.33751,0.1701,2.30146,2.06287,2.82983,0.000148696,0.000148696,0.000148696
94,325.177,0.99507,0.71012,1.31337,0.54933,0.38913,0.38827,0.19559,2.23087,2.00705,2.71033,0.000132193,0.000132193,0.000132193
95,328.516,0.90922,0.64869,1.25285,0.5583,0.41005,0.39917,0.18932,2.1956,2.12347,2.65563,0.00011569,0.00011569,0.00011569
96,331.991,0.91713,0.64542,1.28318,0.61021,0.38913,0.40726,0.19576,2.1734,2.1083,2.58294,9.91865e-05,9.91865e-05,9.91865e-05
97,335.349,0.88473,0.70022,1.25122,0.54141,0.40385,0.43671,0.20529,2.24309,2.05758,2.64285,8.26832e-05,8.26832e-05,8.26832e-05
98,338.669,0.90735,0.65102,1.26479,0.51813,0.49271,0.45546,0.21496,2.20798,1.99198,2.60295,6.61799e-05,6.61799e-05,6.61799e-05
99,341.941,0.88069,0.63939,1.25441,0.57843,0.45435,0.44264,0.207,2.20589,1.97933,2.61534,4.96766e-05,4.96766e-05,4.96766e-05
100,345.336,0.9273,0.74372,1.29958,0.60993,0.43261,0.44381,0.19516,2.24824,2.04634,2.65012,3.31733e-05,3.31733e-05,3.31733e-05
